-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      26.139ms         0.02%      69.820ms      34.875us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.17%        8.157s         2.17%        8.175s      14.003us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1806.12 Gb    1806.12 Gb        583773  
                                            aten::zero_         0.48%        1.793s         1.54%        5.804s      30.685us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        51.98%      195.516s        86.34%      324.802s      324.802s       0.000us         0.00%        2.480s        2.480s      10.23 Kb     -16.69 Gb       1.89 Mb   -2743.58 Gb             1  
                                            aten::stack         0.00%     440.000us         0.04%     163.118ms      13.593ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      76.742ms         0.16%     609.188ms     121.425us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.08%     306.078ms         0.14%     532.446ms     106.128us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.61%        2.292s         0.61%        2.305s      19.037us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb    1696.24 Gb    1696.24 Gb        121073  
                                           aten::narrow         0.02%      82.091ms         0.06%     228.917ms      22.751us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     119.171ms         0.04%     146.851ms      14.593us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
