-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      28.430ms         0.02%      64.255ms      32.095us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.25%        8.072s         2.25%        8.075s      14.583us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1808.33 Gb    1808.33 Gb        553728  
                                            aten::zero_         0.48%        1.733s         1.50%        5.376s      30.871us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        54.29%      194.976s        85.21%      306.018s      306.018s       0.000us         0.00%        2.500s        2.500s     -40.28 Kb     -15.38 Gb     548.50 Kb   -2130.57 Gb             1  
                                            aten::stack         0.00%       1.342ms         0.05%     177.399ms      14.783ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      79.564ms         0.18%     629.767ms     125.527us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.09%     325.384ms         0.15%     550.203ms     109.668us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.16%     558.940ms         0.16%     561.625ms      18.092us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     826.97 Gb     826.97 Gb         31043  
                                           aten::narrow         0.02%      83.031ms         0.06%     233.404ms      23.197us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     122.393ms         0.04%     150.392ms      14.945us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
