-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      22.692ms         0.02%      57.420ms      28.681us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         1.91%        6.363s         1.91%        6.370s      14.689us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    2797.71 Gb    2797.71 Gb        433638  
                                            aten::zero_         0.36%        1.211s         1.31%        4.369s      30.316us       0.000us         0.00%        1.131s       7.848us           0 b           0 b           0 b           0 b        144114  
                                      model_performance        53.33%      177.461s        88.29%      293.783s      293.783s       0.000us         0.00%       34.780s       34.780s       8.46 Mb     -23.05 Gb      51.99 Mb   -2087.69 Gb             1  
                                            aten::stack         0.00%     380.000us         0.04%     148.835ms      12.403ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      67.008ms         0.17%     553.304ms     110.286us       0.000us         0.00%     846.037ms     168.634us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.08%     276.540ms         0.15%     486.296ms      96.930us     846.037ms         1.03%     846.037ms     168.634us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.15%     491.479ms         0.15%     492.964ms      15.880us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     827.07 Gb     827.07 Gb         31043  
                                           aten::narrow         0.02%      82.705ms         0.07%     234.587ms      23.314us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.04%     122.182ms         0.05%     151.896ms      15.095us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
