-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      31.729ms         0.02%      85.299ms      42.607us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.98%       11.207s         2.98%       11.213s      19.207us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1796.14 Gb    1796.14 Gb        583773  
                                            aten::zero_         0.51%        1.929s         1.54%        5.787s      30.594us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        189159  
                                      model_performance        52.23%      196.649s        86.15%      324.360s      324.360s       0.000us         0.00%        2.597s        2.597s    -134.55 Kb     -15.26 Gb     425.00 Kb   -2104.82 Gb             1  
                                            aten::stack         0.00%     506.000us         0.05%     178.600ms      14.883ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      82.855ms         0.17%     642.929ms     128.150us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                             aten::_cat         0.09%     330.096ms         0.15%     560.074ms     111.635us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     171.88 Gb           0 b          5017  
                                          aten::resize_         0.62%        2.324s         0.62%        2.332s      19.258us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     847.67 Gb     847.67 Gb        121073  
                                           aten::narrow         0.02%      80.603ms         0.06%     225.497ms      22.411us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     118.355ms         0.04%     144.929ms      14.402us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
