-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.01%      30.206ms         0.02%      67.732ms      33.832us       0.000us         0.00%       0.000us       0.000us      32.01 Mb           0 b           0 b           0 b          2002  
                                            aten::empty         2.41%        8.713s         2.41%        8.716s      15.741us       0.000us         0.00%       0.000us       0.000us     105.70 Mb     105.70 Mb    1810.15 Gb    1810.15 Gb        553728  
                                            aten::zero_         0.48%        1.723s         1.47%        5.323s      30.566us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        174144  
                                      model_performance        55.30%      199.663s        85.28%      307.916s      307.916s       0.000us         0.00%        2.528s        2.528s     134.54 Kb     -15.38 Gb     548.50 Kb   -2134.43 Gb             1  
                                            aten::stack         0.00%     503.000us         0.05%     192.064ms      16.005ms       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b           0 b           0 b            12  
                                              aten::cat         0.02%      85.263ms         0.18%     655.074ms     130.571us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     172.86 Gb           0 b          5017  
                                             aten::_cat         0.09%     341.788ms         0.16%     569.811ms     113.576us       0.000us         0.00%       0.000us       0.000us      72.00 Mb           0 b     172.86 Gb           0 b          5017  
                                          aten::resize_         0.16%     566.832ms         0.16%     571.629ms      18.414us       0.000us         0.00%       0.000us       0.000us      72.00 Mb      72.00 Mb     829.36 Gb     829.36 Gb         31043  
                                           aten::narrow         0.02%      81.113ms         0.06%     232.825ms      23.139us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10062  
                                            aten::slice         0.03%     123.853ms         0.04%     151.736ms      15.079us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10063  
